Unnamed: 0,total_matches,total_tournaments,total_finals,total_wins,best_rank,wins_clay,wins_grass,wins_hard,cluster,cluster_description
Takeuchi K.,1.0,1.0,0.0,0.0,441.0,0.0,0.0,0.0,1,Developing Players
Tavares L.,2.0,2.0,0.0,1.0,246.0,1.0,0.0,0.0,1,Developing Players
Te R.,1.0,1.0,0.0,0.0,489.0,0.0,0.0,0.0,1,Developing Players
Tearney F.,2.0,1.0,0.0,0.0,365.0,0.0,0.0,0.0,1,Developing Players
Teixeira M.,6.0,5.0,0.0,1.0,181.0,1.0,0.0,0.0,1,Developing Players
Tepavac M.,1.0,1.0,0.0,0.0,201.0,0.0,0.0,0.0,1,Developing Players
Terachi T.,3.0,3.0,0.0,1.0,431.0,0.0,0.0,1.0,1,Developing Players
Thiem D.,513.0,115.0,28.0,318.0,3.0,153.0,14.0,151.0,-1,Outlier
Thiem D. ,5.0,1.0,1.0,3.0,5.0,0.0,0.0,3.0,1,Developing Players
Thomann N.,5.0,5.0,0.0,1.0,206.0,0.0,0.0,1.0,1,Developing Players
Thompson C.,1.0,1.0,0.0,0.0,2159.0,0.0,0.0,0.0,1,Developing Players
Thompson J.,279.0,106.0,4.0,130.0,28.0,14.0,27.0,89.0,1,Developing Players
Thron A.,1.0,1.0,0.0,0.0,1473.0,0.0,0.0,0.0,1,Developing Players
Tiafoe F.,366.0,97.0,9.0,190.0,10.0,34.0,23.0,133.0,1,Developing Players
Tien L.,7.0,3.0,0.0,3.0,191.0,0.0,0.0,3.0,1,Developing Players
Tipsarevic J.,419.0,136.0,10.0,225.0,8.0,46.0,34.0,145.0,1,Developing Players
Tipsarevic J. ,2.0,1.0,0.0,1.0,39.0,0.0,0.0,1.0,1,Developing Players
Tirante T.A.,17.0,12.0,0.0,8.0,109.0,7.0,0.0,1.0,1,Developing Players
Tiurnev E.,1.0,1.0,0.0,0.0,304.0,0.0,0.0,0.0,1,Developing Players
Tomic B.,329.0,101.0,6.0,166.0,17.0,25.0,33.0,108.0,1,Developing Players
Topic J.,1.0,1.0,0.0,0.0,605.0,0.0,0.0,0.0,1,Developing Players
Topo M.,5.0,4.0,0.0,0.0,320.0,0.0,0.0,0.0,1,Developing Players
Torebko P.,2.0,2.0,0.0,0.0,313.0,0.0,0.0,0.0,1,Developing Players
Torpegaard M.,4.0,4.0,0.0,1.0,179.0,0.0,0.0,1.0,1,Developing Players
Travaglia S.,77.0,45.0,1.0,25.0,60.0,10.0,1.0,14.0,1,Developing Players
Trevisan M.,1.0,1.0,0.0,0.0,462.0,0.0,0.0,0.0,1,Developing Players
Trinker B.,3.0,3.0,0.0,1.0,371.0,1.0,0.0,0.0,1,Developing Players
Troicki V.,496.0,132.0,9.0,253.0,12.0,53.0,32.0,168.0,1,Developing Players
Troicki V. ,2.0,2.0,0.0,1.0,29.0,0.0,0.0,1.0,1,Developing Players
Trongcharoenchaikul W.,1.0,1.0,0.0,0.0,1217.0,0.0,0.0,0.0,1,Developing Players
Trujillo G.,2.0,2.0,0.0,1.0,237.0,1.0,0.0,0.0,1,Developing Players
Trungelliti M.,38.0,21.0,0.0,15.0,121.0,13.0,0.0,2.0,1,Developing Players
Trusendi W.,1.0,1.0,0.0,0.0,386.0,0.0,0.0,0.0,1,Developing Players
Tseng C. H.,9.0,8.0,0.0,2.0,108.0,1.0,0.0,1.0,1,Developing Players
