,total_matches,total_tournaments,total_finals,total_wins,best_rank,career_span_days,avg_sets_per_match,top_10_wins,ranking_stability,wins_clay,wins_grass,wins_hard,wins_atp250,wins_atp500,wins_grand slam,wins_international,wins_international gold,wins_masters,wins_masters 1000,wins_masters cup,wins_month_1,wins_month_2,wins_month_3,wins_month_4,wins_month_5,wins_month_6,wins_month_7,wins_month_8,wins_month_9,wins_month_10,wins_month_11,wins_month_12,wins_1st_round,wins_2nd_round,wins_3rd_round,wins_4th_round,wins_quarterfinals,wins_round_robin,wins_semifinals,wins_the_final,win_rate,finals_rate
Elseneer G.,38.0,22.0,0.0,14.0,97.0,1471.0,2.857142857142857,0.0,62.82879230780376,2.0,9.0,3.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,2.0,1.0,0.0,1.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,0.0
Elsner D.,29.0,20.0,0.0,8.0,93.0,1898.0,2.75,1.0,58.125118595704436,7.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.27586206896551724,0.0
Emmrich M.,1.0,1.0,0.0,0.0,994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Engel J.,2.0,2.0,0.0,1.0,458.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Enqvist T.,245.0,86.0,6.0,135.0,5.0,2122.0,2.637037037037037,9.0,38.179205613704596,22.0,11.0,102.0,0.0,0.0,28.0,51.0,17.0,39.0,0.0,0.0,10.0,15.0,19.0,6.0,16.0,11.0,4.0,29.0,0.0,21.0,2.0,2.0,57.0,41.0,14.0,1.0,13.0,0.0,6.0,3.0,0.5510204081632653,0.024489795918367346
Eriksson M.,4.0,3.0,0.0,0.0,399.0,0.0,0.0,0.0,96.87362902255701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erler A.,2.0,1.0,0.0,1.0,337.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Erlich J.,9.0,7.0,0.0,4.0,548.0,1107.0,2.25,0.0,23.004347415216976,0.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0
Eschauer W.,50.0,36.0,1.0,14.0,52.0,2773.0,2.7142857142857144,1.0,55.51942602969402,12.0,1.0,1.0,0.0,0.0,2.0,9.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.28,0.02
Escobar G.,2.0,2.0,0.0,0.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
